               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.023452,           0.0078193,           0.0013162,             0.83977,             0.79913,             0.77963,              0.5575,            0.032572,           0.0069781,            0.012593,           0.0042445,           0.0042445,           0.0042445
                  61,            0.023175,           0.0079744,           0.0013167,             0.79037,             0.77735,             0.75368,             0.52224,            0.033611,           0.0075832,            0.012995,           0.0041094,           0.0041094,           0.0041094
                  62,            0.023264,           0.0076397,           0.0014894,              0.8254,             0.74485,             0.74458,             0.52522,            0.032775,           0.0079533,            0.013303,           0.0039757,           0.0039757,           0.0039757
                  63,            0.022769,            0.008033,           0.0012918,             0.85064,             0.76484,              0.7621,             0.54189,            0.031388,           0.0077045,            0.011872,           0.0038434,           0.0038434,           0.0038434
                  64,            0.022654,           0.0073504,          0.00085414,             0.85053,             0.73347,             0.75237,             0.53946,            0.032274,           0.0080292,            0.012937,           0.0037128,           0.0037128,           0.0037128
                  65,            0.022527,           0.0074166,           0.0012566,             0.84576,             0.73133,             0.75296,             0.53008,            0.033574,           0.0080796,            0.013341,            0.003584,            0.003584,            0.003584
                  66,            0.022716,            0.007633,           0.0007267,             0.83281,             0.73669,              0.7496,             0.53632,            0.033438,           0.0080559,            0.012858,            0.003457,            0.003457,            0.003457
                  67,             0.02216,           0.0075841,          0.00089964,             0.84703,             0.74996,             0.76357,             0.54064,            0.032389,           0.0080675,            0.012423,           0.0033321,           0.0033321,           0.0033321
                  68,            0.021234,           0.0077018,          0.00094521,             0.84721,             0.75538,             0.76652,             0.53515,            0.031067,           0.0080799,            0.011936,           0.0032093,           0.0032093,           0.0032093
                  69,            0.022551,           0.0076654,          0.00087877,             0.84131,             0.75771,             0.77039,             0.54116,            0.031103,           0.0080728,             0.01176,           0.0030888,           0.0030888,           0.0030888
